
                                      ARENA Simulation Results
                                   João Viktor - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :12/ 2/2020
Analista: João Viktor                                                 Data de revisão do modelo:12/ 2/2020

Replicação terminada no tempo de      : 480.0 Minutos (Monday, November 23, 2020, 12:29:59)
Unidade de Tempo Base: Minutos

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
MaquinaB8.4.Utilization                     .48620     (Insuf)    .00000     1.0000     .00000    
MaquinaB2.NumberBusy                        .78955     (Insuf)    .00000     1.0000     .00000    
MaquinaB2.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaB2.Utilization                       .78955     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.1.NumberBusy                      .55238     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaB8.1.Utilization                     .55238     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.3.NumberBusy                      .54017     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.3.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaB8.3.Utilization                     .54017     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.2.NumberBusy                      .44906     (Insuf)    .00000     1.0000     .00000    
MaquinaB8.2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaB8.2.Utilization                     .44906     (Insuf)    .00000     1.0000     .00000    
MaquinaA5.2.NumberBusy                      .44422     (Insuf)    .00000     1.0000     .00000    
MaquinaA5.2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaA5.2.Utilization                     .44422     (Insuf)    .00000     1.0000     .00000    
MaquinaA5.1.NumberBusy                      .64672     (Insuf)    .00000     1.0000     .00000    
MaquinaA5.1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaA5.1.Utilization                     .64672     (Insuf)    .00000     1.0000     .00000    
MaquinaA3.1.NumberBusy                      .58033     (Insuf)    .00000     1.0000     .00000    
MaquinaA3.1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaA3.1.Utilization                     .58033     (Insuf)    .00000     1.0000     .00000    
MaquinaA3.2.NumberBusy                      .66915     (Insuf)    .00000     1.0000     .00000    
MaquinaA3.2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
MaquinaA3.2.Utilization                     .66915     (Insuf)    .00000     1.0000     .00000    
Process 7.2.Queue.NumberInQueue             .62647     (Insuf)    .00000     5.0000     .00000    
Process 8.4.Queue.NumberInQueue             .29100     (Insuf)    .00000     3.0000     .00000    
Process 6.2.Queue.NumberInQueue             .15192     (Insuf)    .00000     2.0000     .00000    
Process 5.2.Queue.NumberInQueue             .12422     (Insuf)    .00000     2.0000     .00000    
Process 8.Queue.NumberInQueue               .31124     (Insuf)    .00000     3.0000     .00000    
Process 5.Queue.NumberInQueue               .33765     (Insuf)    .00000     2.0000     .00000    
Process 7.4.Queue.NumberInQueue             .16647     (Insuf)    .00000     2.0000     .00000    
Process 9.Queue.NumberInQueue               .88782     (Insuf)    .00000     5.0000     .00000    
Process 3.2.Queue.NumberInQueue             .42289     (Insuf)    .00000     3.0000     .00000    
Process 8.3.Queue.NumberInQueue             .20511     (Insuf)    .00000     2.0000     .00000    
Process 4.Queue.NumberInQueue               .85963     (Insuf)    .00000     5.0000     .00000    
Process 2.Queue.NumberInQueue               .60421     (Insuf)    .00000     2.0000     .00000    
Process 7.Queue.NumberInQueue               .13029     (Insuf)    .00000     3.0000     .00000    
Process 7.3.Queue.NumberInQueue             .30877     (Insuf)    .00000     2.0000     .00000    
Process 6.Queue.NumberInQueue               .24958     (Insuf)    .00000     3.0000     .00000    
Process 11.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 10.Queue.NumberInQueue              .13923     (Insuf)    .00000     2.0000     .00000    
Process 4.2.Queue.NumberInQueue             2.4401     (Insuf)    .00000     6.0000     .00000    
Process 1.Queue.NumberInQueue               .34944     (Insuf)    .00000     2.0000     .00000    
Process 3.Queue.NumberInQueue               .27482     (Insuf)    .00000     3.0000     .00000    
Process 8.2.Queue.NumberInQueue             .17746     (Insuf)    .00000     2.0000     .00000    

                                             RESULTADOS

Identificador                                   Valor
_____________________________________________________________

PecasA.NumberIn                             140.00    
PecasA.NumberOut                            140.00    
PecasB.NumberIn                             10.000    
PecasB.NumberOut                            10.000    
MaquinaC1011.NumberSeized                   150.00    
MaquinaC1011.ScheduledUtilization           .56990    
MaquinaA9.NumberSeized                      150.00    
MaquinaA9.ScheduledUtilization              .77577    
MaquinaA7.1.NumberSeized                    30.000    
MaquinaA7.1.ScheduledUtilization            .40343    
MaquinaA1.NumberSeized                      150.00    
MaquinaA1.ScheduledUtilization              .77569    
MaquinaA7.2.NumberSeized                    45.000    
MaquinaA7.2.ScheduledUtilization            .61073    
MaquinaA7.3.NumberSeized                    42.000    
MaquinaA7.3.ScheduledUtilization            .57343    
MaquinaA7.4.NumberSeized                    33.000    
MaquinaA7.4.ScheduledUtilization            .44646    
MaquinaB6.2.NumberSeized                    76.000    
MaquinaB6.2.ScheduledUtilization            .54726    
MaquinaB6.1.NumberSeized                    74.000    
MaquinaB6.1.ScheduledUtilization            .53596    
MaquinaB4.1.NumberSeized                    72.000    
MaquinaB4.1.ScheduledUtilization            .74631    
MaquinaB4.2.NumberSeized                    78.000    
MaquinaB4.2.ScheduledUtilization            .81109    
MaquinaB8.4.NumberSeized                    36.000    
MaquinaB8.4.ScheduledUtilization            .48620    
MaquinaB2.NumberSeized                      150.00    
MaquinaB2.ScheduledUtilization              .78955    
MaquinaB8.1.NumberSeized                    41.000    
MaquinaB8.1.ScheduledUtilization            .55238    
MaquinaB8.3.NumberSeized                    40.000    
MaquinaB8.3.ScheduledUtilization            .54017    
MaquinaB8.2.NumberSeized                    33.000    
MaquinaB8.2.ScheduledUtilization            .44906    
MaquinaA5.2.NumberSeized                    61.000    
MaquinaA5.2.ScheduledUtilization            .44422    
MaquinaA5.1.NumberSeized                    89.000    
MaquinaA5.1.ScheduledUtilization            .64672    
MaquinaA3.1.NumberSeized                    69.000    
MaquinaA3.1.ScheduledUtilization            .58033    
MaquinaA3.2.NumberSeized                    81.000    
MaquinaA3.2.ScheduledUtilization            .66915    
System.NumberOut                            150.00    


Tempo executando a simulação: 0.17 minutos.
Simulação completada.
